timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh
1770559781.9869852,57.83484367,12.30699750,57.83483298,12.30699054,4.643,9.028,1.910,7.53
1770559782.9869354,57.83482817,12.30702633,57.83483057,12.30700844,4.643,9.055,1.910,5.91
1770559783.9832888,57.83480750,12.30705550,57.83481904,12.30703197,4.643,9.083,1.910,5.30
1770559784.9845414,57.83478500,12.30709217,57.83480202,12.30706207,3.571,9.110,1.460,4.46
1770559785.985766,57.83477133,12.30712067,57.83478668,12.30709137,3.357,9.138,1.370,4.29
1770559786.9873314,57.83473917,12.30715467,57.83476292,12.30712302,3.571,9.165,1.460,2.67
1770559787.9864898,57.83471600,12.30718133,57.83473946,12.30715218,3.571,9.192,1.460,1.99
1770559788.9907074,57.83470133,12.30719133,57.83472040,12.30717175,3.571,9.220,1.460,1.10
1770559789.996076,57.83468517,12.30719867,57.83470278,12.30718521,3.571,9.247,1.460,0.35
1770559790.9875593,57.83467717,12.30719483,57.83468997,12.30719002,3.571,9.274,1.460,0.47
1770559791.9845486,57.83467700,12.30719767,57.83468349,12.30719384,3.571,9.301,1.460,0.33
1770559792.9845307,57.83468083,12.30719633,57.83468216,12.30719509,4.714,9.327,1.940,0.75
1770559793.9856882,57.83467700,12.30718817,57.83467958,12.30719163,4.714,9.354,1.940,0.91
1770559794.9908864,57.83470817,12.30718183,57.83469387,12.30718673,4.714,9.381,1.940,3.00
1770559795.9875095,57.83470850,12.30718983,57.83470119,12.30718828,4.690,9.407,1.930,3.55
1770559796.991475,57.83470100,12.30719817,57.83470109,12.30719322,3.571,9.434,1.460,3.15
1770559797.9848115,57.83469500,12.30720683,57.83469805,12.30720003,3.548,9.460,1.450,3.00
1770559798.9904165,57.83468133,12.30721900,57.83468969,12.30720951,3.548,9.487,1.450,2.22
1770559799.9872937,57.83466933,12.30722700,57.83467951,12.30721826,3.548,9.513,1.450,1.68
1770559800.9932804,57.83466167,12.30723183,57.83467059,12.30722505,3.548,9.539,1.450,1.58
1770559801.99067,57.83465250,12.30724517,57.83466154,12.30723511,3.548,9.566,1.450,1.32
1770559802.9861197,57.83463917,12.30726167,57.83465036,12.30724839,3.548,9.592,1.450,0.99
1770559803.9891102,57.83463567,12.30726550,57.83464301,12.30725694,3.548,9.618,1.450,1.02
1770559804.9846165,57.83464117,12.30726067,57.83464209,12.30725880,3.548,9.644,1.450,1.70
1770559805.987613,57.83463767,12.30725800,57.83463988,12.30725840,3.548,9.670,1.450,1.51
1770559806.9945464,57.83462183,12.30725733,57.83463086,12.30725787,3.548,9.695,1.450,0.97
1770559807.988875,57.83462533,12.30725267,57.83462809,12.30725527,3.548,9.721,1.450,1.43
1770559808.996828,57.83462250,12.30725833,57.83462530,12.30725680,3.548,9.747,1.450,1.23
1770559809.985547,57.83462317,12.30727850,57.83462423,12.30726765,3.548,9.772,1.450,1.77
1770559810.9858897,57.83461417,12.30727767,57.83461920,12.30727266,3.548,9.798,1.450,0.96
1770559811.985198,57.83460450,12.30729167,57.83461185,12.30728216,3.548,9.823,1.450,0.80
1770559812.98504,57.83459650,12.30729650,57.83460417,12.30728933,3.548,9.849,1.450,0.69
1770559813.993695,57.83459533,12.30729517,57.83459975,12.30729225,3.548,9.874,1.450,0.71
1770559814.9959164,57.83458783,12.30729850,57.83459379,12.30729537,3.548,9.899,1.450,0.54
1770559815.9857347,57.83458533,12.30730467,57.83458956,12.30730002,3.548,9.925,1.450,0.96
1770559816.9938242,57.83458467,12.30730467,57.83458712,12.30730234,3.548,9.950,1.450,0.91
1770559817.9926875,57.83458133,12.30730350,57.83458422,12.30730292,3.548,9.975,1.450,0.71
1770559818.9874551,57.83459183,12.30729383,57.83458803,12.30729838,3.548,10.000,1.450,1.73
1770559819.993268,57.83458617,12.30728383,57.83458710,12.30729111,3.548,10.025,1.450,1.57
1770559820.99027,57.83457350,12.30728483,57.83458030,12.30728797,3.548,10.050,1.450,0.90
1770559821.9930317,57.83454533,12.30728783,57.83456282,12.30728790,3.548,10.075,1.450,1.92
1770559822.9844596,57.83453283,12.30729700,57.83454782,12.30729245,3.548,10.100,1.450,1.82
1770559823.9871607,57.83452467,12.30729717,57.83453625,12.30729481,4.929,10.124,2.030,1.68
1770559824.988368,57.83450917,12.30730600,57.83452271,12.30730040,4.929,10.149,2.030,2.17
1770559825.9832542,57.83449300,12.30731150,57.83450785,12.30730595,4.929,10.173,2.030,2.57
1770559826.9891188,57.83447533,12.30732267,57.83449159,12.30731431,4.929,10.198,2.030,3.13
1770559827.986423,57.83446583,12.30732867,57.83447871,12.30732149,4.929,10.223,2.030,2.86
1770559828.9862192,57.83448000,12.30732867,57.83447936,12.30732508,4.929,10.247,2.030,1.64
1770559829.9945447,57.83447500,12.30733783,57.83447718,12.30733146,3.548,10.271,1.450,1.87
1770559830.991212,57.83445750,12.30735467,57.83446734,12.30734306,3.548,10.296,1.450,3.00
1770559831.985657,57.83444983,12.30735317,57.83445859,12.30734811,3.548,10.320,1.450,2.82
1770559832.9909656,57.83445083,12.30735233,57.83445471,12.30735022,3.548,10.344,1.450,1.93
1770559833.9855583,57.83444717,12.30735033,57.83445094,12.30735028,3.548,10.368,1.450,1.50
1770559834.990503,57.83445333,12.30735133,57.83445214,12.30735081,4.024,10.392,1.650,0.37
1770559835.9856594,57.83444367,12.30735567,57.83444790,12.30735324,4.024,10.416,1.650,0.86
1770559837.985565,57.83442633,12.30736450,57.83443712,12.30735887,12.000,10.440,99.990,0.87
1770559838.9898667,57.83441883,12.30736883,57.83442798,12.30736385,4.190,10.464,1.720,1.09
1770559839.9845908,57.83441700,12.30737567,57.83442249,12.30736976,4.190,10.488,1.720,1.01
1770559840.9912906,57.83441500,12.30738100,57.83441874,12.30737538,4.190,10.512,1.720,1.11
1770559841.9866624,57.83440967,12.30738150,57.83441421,12.30737844,4.190,10.536,1.720,1.04
1770559842.9895585,57.83440683,12.30737667,57.83441052,12.30737755,4.190,10.559,1.720,0.75
1770559843.9851146,57.83441217,12.30736800,57.83441134,12.30737278,4.190,10.583,1.720,0.46
1770559844.9910705,57.83440133,12.30735967,57.83440634,12.30736622,4.190,10.607,1.720,0.86
1770559845.9867947,57.83440100,12.30735467,57.83440367,12.30736044,4.190,10.630,1.720,0.70
1770559846.9814699,57.83440117,12.30734450,57.83440242,12.30735247,4.190,10.654,1.720,0.71
1770559847.9860337,57.83439883,12.30733683,57.83440063,12.30734465,4.190,10.677,1.720,0.85
1770559848.9809988,57.83438983,12.30734600,57.83439523,12.30734533,4.190,10.700,1.720,0.62
1770559849.9856377,57.83438000,12.30735833,57.83438761,12.30735183,4.190,10.724,1.720,0.96
1770559850.9808204,57.83437983,12.30736417,57.83438372,12.30735800,4.190,10.747,1.720,0.85
1770559851.986654,57.83437300,12.30737133,57.83437836,12.30736467,4.190,10.770,1.720,1.15
1770559852.9807494,57.83437017,12.30737367,57.83437426,12.30736917,4.190,10.794,1.720,1.19
1770559853.9847932,57.83436300,12.30737583,57.83436863,12.30737250,4.190,10.817,1.720,1.49
1770559854.9894764,57.83435967,12.30736800,57.83436415,12.30737025,4.190,10.840,1.720,1.41
1770559855.9838052,57.83435983,12.30735967,57.83436199,12.30736496,4.190,10.863,1.720,1.09
1770559856.9869146,57.83435800,12.30734967,57.83436000,12.30735731,4.190,10.886,1.720,1.12
1770559857.98191,57.83437050,12.30733717,57.83436525,12.30734724,4.190,10.909,1.720,0.35
1770559858.9874456,57.83436967,12.30733050,57.83436746,12.30733887,4.190,10.932,1.720,0.74
1770559859.9821055,57.83437017,12.30732050,57.83436881,12.30732968,3.524,10.954,1.440,1.38
1770559860.9958167,57.83436683,12.30733250,57.83436782,12.30733109,3.524,10.977,1.440,0.84
1770559861.9901571,57.83436350,12.30734467,57.83436566,12.30733788,3.524,11.000,1.440,0.52
1770559862.988196,57.83435300,12.30735967,57.83435933,12.30734877,3.524,11.023,1.440,0.49
1770559863.9877756,57.83435383,12.30735500,57.83435658,12.30735189,3.524,11.045,1.440,0.55
1770559864.9821732,57.83434950,12.30735967,57.83435304,12.30735578,3.524,11.068,1.440,0.48
1770559865.989942,57.83434050,12.30738183,57.83434677,12.30736880,3.524,11.091,1.440,0.85
1770559866.9831903,57.83433750,12.30739883,57.83434214,12.30738382,3.524,11.113,1.440,1.31
1770559867.986517,57.83432717,12.30740883,57.83433465,12.30739633,3.524,11.136,1.440,1.35
1770559868.9834404,57.83431933,12.30741467,57.83432699,12.30740550,3.524,11.158,1.440,1.48
1770559869.9970157,57.83432017,12.30742033,57.83432358,12.30741291,3.524,11.180,1.440,1.26
1770559870.990602,57.83432183,12.30741717,57.83432271,12.30741504,3.524,11.203,1.440,0.70
