gps_epoch_s,pc_epoch_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770713166.0,1770716766.096,57.83444366666666,12.307380166666666,57.834445413505044,12.307381127408142,4.175,2.5,2.5,0.5171471618424643,6,6,Reverse,82.5,6.262499999999999,1
1770713167.0,1770716767.079,57.83444599999999,12.307377166666667,57.83444570675252,12.307379147037404,4.175,2.5,2.5,0.3853844702702461,6,6,Reverse,82.4,6.262499999999999,1
1770713168.0,1770716768.094,57.834447,12.307369666666666,57.83444635337626,12.307374406852036,4.175,2.5,2.5,0.4178797322429908,6,6,Reverse,82.6,6.262499999999999,1
1770713169.0,1770716769.101,57.8344535,12.307360999999998,57.83444992668813,12.307367703426017,4.175,2.5,2.5,0.6064308413304023,6,6,Reverse,82.7,6.262499999999999,1
1770713170.0,1770716770.091,57.83445183333333,12.307361166666665,57.834450880010735,12.30736443504634,4.175,2.5,2.5,0.6601348957355093,6,6,Reverse,82.9,6.262499999999999,1
1770713171.0,1770716771.098,57.83445433333333,12.307363333333335,57.83445260667203,12.307363884189838,4.175,2.5,2.5,0.6688727311647263,6,6,Reverse,83.3,6.262499999999999,1
1770713172.0,1770716772.096,57.83446133333334,12.307361666666669,57.834456970002684,12.307362775428253,4.175,2.5,2.5,0.8250060625853715,6,6,Reverse,83.4,6.262499999999999,1
1770713173.0,1770716773.096,57.834474,12.307362333333334,57.834465485001346,12.307362554380793,4.175,2.5,2.5,1.2059353138803837,6,6,Reverse,83.6,6.262499999999999,1
1770713174.0,1770716774.099,57.834478499999996,12.307354666666667,57.83447199250067,12.30735861052373,4.175,2.5,2.5,1.4830098753030159,6,6,Reverse,83.8,6.262499999999999,1
1770713175.0,1770716775.093,57.83448266666666,12.307354333333334,57.83447732958366,12.307356471928532,4.175,2.5,2.5,1.679630379336366,6,6,Reverse,84.2,6.262499999999999,1
1770713176.0,1770716776.102,57.8344795,12.307352833333335,57.83447841479183,12.307354652630934,4.175,2.5,2.5,1.635864863450962,6,6,Reverse,84.6,6.262499999999999,1
1770713177.0,1770716777.096,57.834469999999996,12.307365,57.834474207395914,12.307359826315468,4.175,2.5,2.5,1.3584443332433822,6,6,Reverse,85.2,6.262499999999999,1
1770713178.0,1770716778.097,57.83447366666666,12.307356166666667,57.83447393703129,12.307357996491067,4.175,2.5,2.5,1.1891547567646497,6,6,Reverse,85.5,6.262499999999999,1
1770713179.0,1770716779.08,57.834479333333334,12.307357666666666,57.83447663518231,12.307357831578866,4.175,2.5,2.5,1.0641955307515358,6,6,Reverse,85.8,6.262499999999999,1
1770713180.0,1770716780.096,57.83447783333333,12.307362666666666,57.83447723425782,12.307360249122766,4.175,2.5,2.5,0.8593527777231236,6,6,Reverse,85.6,6.262499999999999,1
1770713181.0,1770716781.096,57.834482166666675,12.307362166666667,57.834479700462246,12.307361207894717,4.175,2.5,2.5,0.7519709396697356,6,6,Reverse,85.6,6.262499999999999,1
1770713182.0,1770716782.096,57.83447683333334,12.307365833333332,57.8344782668978,12.307363520614025,4.175,2.5,2.5,0.6211279474562005,6,6,Reverse,85.5,6.262499999999999,1
1770713183.0,1770716783.099,57.83447816666667,12.307369999999999,57.83447821678223,12.307366760307012,4.175,2.5,2.5,0.5684357138472514,6,6,Reverse,85.4,6.262499999999999,1
1770713184.0,1770716784.092,57.83447549999999,12.307376666666668,57.83447685839111,12.30737171348684,4.175,2.5,2.5,0.684810792131589,6,6,Reverse,85.0,6.262499999999999,1
1770713185.0,1770716785.096,57.834477,12.307378666666667,57.83447692919555,12.307375190076753,4.175,2.5,2.5,0.7747536519457232,6,6,Reverse,84.7,6.262499999999999,1
1770713186.0,1770716786.091,57.83447816666667,12.3073695,57.834477547931115,12.307372345038377,4.175,2.5,2.5,0.6050283333012529,6,6,Reverse,84.3,6.262499999999999,1
1770713187.0,1770716787.096,57.83448133333333,12.307363666666667,57.83447944063222,12.307368005852522,4.175,2.5,2.5,0.5778269474630836,6,6,Reverse,84.0,6.262499999999999,1
