gps_epoch_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1770712246.001,57.834428166666676,12.307290499999999,57.83442936882651,12.307289689829267,3.025,2.5,2.5,0.6965952134882422,7,7,Reverse,78.4,4.5375,1
1770712247.005,57.834424166666665,12.307292833333333,57.83442676774659,12.3072912615813,3.025,2.5,2.5,0.6739701511866042,7,7,Reverse,78.2,4.5375,1
1770712248.002,57.83442483333333,12.307293,57.83442580053996,12.30729213079065,3.025,2.5,2.5,0.5516582729413282,7,7,Reverse,78.1,4.5375,1
1770712248.989,57.83442516666667,12.307292333333331,57.83442548360331,12.30729223206199,3.025,2.5,2.5,0.4509012523798779,7,7,Reverse,78.0,4.5375,1
1770712250.001,57.834421999999996,12.307292333333331,57.83442374180166,12.307292282697661,3.025,2.5,2.5,0.40550987460856774,7,7,Reverse,78.0,4.5375,1
1770712250.998,57.83441549999999,12.307294166666669,57.834419620900825,12.307293224682164,3.025,2.5,2.5,0.5351284112316674,7,7,Reverse,77.8,4.5375,1
1770712252.002,57.83441233333333,12.307294833333334,57.834415977117075,12.30729402900775,3.025,2.5,2.5,0.6387492732944822,7,7,Reverse,77.3,4.5375,1
1770712252.996,57.83440900000001,12.307294166666669,57.83441248855854,12.30729409783721,3.025,2.5,2.5,0.7237805451420781,7,7,Reverse,77.2,4.5375,1
1770712254.001,57.83440716666667,12.307293333333332,57.83440982761261,12.30729371558527,3.025,2.5,2.5,0.7535170141597606,7,7,Reverse,77.1,4.5375,1
1770712255.006,57.83440866666667,12.307291833333332,57.83440924713964,12.3072927744593,3.025,2.5,2.5,0.6170370305414905,7,7,Reverse,77.1,4.5375,1
1770712256.001,57.83440516666666,12.307290833333331,57.83440720690315,12.307291803896316,3.025,2.5,2.5,0.6066256543502615,7,7,Reverse,76.9,4.5375,1
1770712257.005,57.83440600000001,12.307288833333333,57.834406603451576,12.307290318614825,3.025,2.5,2.5,0.5031237449918176,7,7,Reverse,76.4,4.5375,1
1770712258.001,57.8344085,12.307288333333334,57.83440755172579,12.307289325974079,3.025,2.5,2.5,0.4359051086465273,7,7,Reverse,76.2,4.5375,1
1770712258.995,57.83440716666667,12.307287666666666,57.834407359196234,12.307288496320373,3.025,2.5,2.5,0.34066206624504625,7,7,Reverse,76.1,4.5375,1
1770712259.998,57.834405,12.307287833333332,57.83440617959811,12.307288164826852,3.025,2.5,2.5,0.3126696385226715,7,7,Reverse,75.6,4.5375,1
1770712261.01,57.83440349999999,12.307286500000002,57.834404839799056,12.307287332413427,3.025,2.5,2.5,0.35250790684312183,7,7,Reverse,75.4,4.5375,1
1770712261.996,57.8344055,12.3072845,57.834405169899526,12.307285916206713,3.025,2.5,2.5,0.2757910114166191,7,7,Reverse,75.0,4.5375,1
1770712263.003,57.83440349999999,12.307284166666667,57.83440433494976,12.30728504143669,3.025,2.5,2.5,0.2621337479525859,7,7,Reverse,74.9,4.5375,1
1770712263.997,57.834405,12.307282333333335,57.83440466747488,12.307283687385013,3.025,2.5,2.5,0.2299704183307037,7,7,Reverse,74.3,4.5375,1
1770712265.002,57.83440433333333,12.307282833333334,57.834404500404105,12.307283260359172,3.025,2.5,2.5,0.19612561088666053,7,7,Reverse,73.8,4.5375,1
1770712265.996,57.8344015,12.307283500000002,57.83440300020205,12.307283380179587,3.025,2.5,2.5,0.2664998201951343,7,7,Reverse,73.7,4.5375,1
1770712267.006,57.834400499999994,12.307283,57.83440175010102,12.307283190089795,3.025,2.5,2.5,0.3306017066461205,7,7,Reverse,73.3,4.5375,1
1770712268.005,57.83439983333333,12.307280166666665,57.83440079171718,12.30728167837823,3.025,2.5,2.5,0.38850274108826033,7,7,Reverse,73.2,4.5375,1
1770712268.999,57.83439816666667,12.307280166666665,57.83439947919192,12.307280922522446,3.025,2.5,2.5,0.46235551932547553,7,7,Reverse,72.9,4.5375,1
1770712269.995,57.83441016666667,12.307274500000002,57.8344048229293,12.307277711261225,3.025,2.5,2.5,0.6109419070023914,7,7,Reverse,72.9,4.5375,1
1770712271.0,57.83440516666666,12.307276666666667,57.83440499479798,12.307277188963946,3.025,2.5,2.5,0.5364080067426694,7,7,Reverse,73.0,4.5375,1
1770712271.995,57.83440483333334,12.307276000000002,57.83440491406566,12.307276594481973,3.025,2.5,2.5,0.5161646639404032,7,7,Reverse,72.9,4.5375,1
1770712273.0,57.83440716666667,12.307275833333332,57.83440604036617,12.307276213907652,3.025,2.5,2.5,0.4460975338325111,7,7,Reverse,72.6,4.5375,1
1770712273.994,57.83440733333334,12.307276166666668,57.83440668684975,12.30727619028716,3.025,2.5,2.5,0.5012071372224435,7,7,Reverse,72.6,4.5375,1
1770712274.999,57.83441316666667,12.307274666666668,57.83440992675821,12.307275428476915,3.025,2.5,2.5,0.3980142450005676,7,7,Reverse,72.4,4.5375,1
1770712276.004,57.834417833333326,12.307273666666667,57.834413880045766,12.30727454757179,3.025,2.5,2.5,0.4001593268069717,7,7,Reverse,72.4,4.5375,1
1770712276.998,57.83441800000001,12.307273333333335,57.834415940022886,12.307273940452562,3.025,2.5,2.5,0.3310370950963434,7,7,Reverse,72.5,4.5375,1
1770712277.995,57.83441583333333,12.3072735,57.83441588667811,12.307273720226283,3.025,2.5,2.5,0.46929060214938506,7,7,Reverse,72.5,4.5375,1
1770712279.002,57.834419499999996,12.307273333333335,57.834417693339056,12.307273526779808,3.025,2.5,2.5,0.45424344400874517,7,7,Reverse,72.3,4.5375,1
1770712279.993,57.83442633333334,12.307271166666665,57.834422013336194,12.307272346723236,3.025,2.5,2.5,0.45852519951327647,7,7,Reverse,72.4,4.5375,1
1770712281.002,57.83443016666667,12.307270999999998,57.834426090001436,12.307271673361617,3.025,2.5,2.5,0.44793393134977555,7,7,Reverse,72.4,4.5375,1
1770712282.006,57.834433999999995,12.30727,57.834430045000715,12.307270836680809,3.025,2.5,2.5,0.4159881402693928,7,7,Reverse,72.8,4.5375,1
1770712282.991,57.834436499999995,12.307270333333333,57.834433272500355,12.307270585007071,3.025,2.5,2.5,0.341311623419549,7,7,Reverse,72.9,4.5375,1
1770712284.003,57.834438666666664,12.307270333333333,57.83443596958351,12.307270459170203,3.025,2.5,2.5,0.2957824724748049,7,7,Reverse,73.2,4.5375,1
1770712285.0,57.8344475,12.307268666666667,57.83444173479175,12.307269562918435,3.025,2.5,2.5,0.4413532634904592,7,7,Reverse,73.4,4.5375,1
