timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,direction
1770562855.9499707,57.83447467,12.30732700,57.83449871,12.30733943,3.000,2.500,1.850,1.94,5,5,Reverse
1770562856.9681282,57.83446400,12.30730933,57.83448135,12.30732438,3.000,2.500,1.850,2.24,5,5,Reverse
1770562857.9747317,57.83445167,12.30730450,57.83446651,12.30731444,3.000,2.500,1.850,1.47,5,5,Reverse
1770562858.9709494,57.83444183,12.30730083,57.83445417,12.30730764,2.905,2.500,1.750,1.05,6,6,Reverse
1770562859.949593,57.83443750,12.30730450,57.83444584,12.30730607,2.905,2.500,1.750,0.62,6,6,Stopped
1770562860.9705632,57.83443200,12.30730667,57.83443892,12.30730637,2.905,2.500,1.750,0.58,6,6,Stopped
1770562861.9560761,57.83443250,12.30731750,57.83443571,12.30731193,2.962,2.500,1.810,1.21,5,5,Forward
1770562862.949627,57.83442750,12.30731217,57.83443160,12.30731205,2.962,2.500,1.810,0.37,5,5,Stopped
1770562863.9505892,57.83442567,12.30730500,57.83442864,12.30730853,2.962,2.500,1.810,0.29,5,5,Reverse
1770562864.9509947,57.83442033,12.30730967,57.83442448,12.30730910,2.962,2.500,1.810,0.30,5,5,Stopped
1770562865.9685721,57.83441800,12.30731100,57.83442124,12.30731005,2.962,2.500,1.810,0.23,5,5,Stopped
1770562866.9533768,57.83443233,12.30731383,57.83442679,12.30731194,2.962,2.500,1.810,0.40,5,5,Stopped
1770562867.9693785,57.83444167,12.30731233,57.83443423,12.30731214,2.905,2.500,1.750,0.36,6,6,Stopped
1770562868.9661522,57.83445433,12.30731517,57.83444428,12.30731365,2.905,2.500,1.750,0.87,6,6,Stopped
1770562869.9739752,57.83446100,12.30730717,57.83445264,12.30731041,2.914,2.500,1.760,0.90,6,6,Stopped
1770562870.9662619,57.83446867,12.30730067,57.83446065,12.30730554,2.914,2.500,1.760,1.28,6,6,Reverse
1770562871.964038,57.83447350,12.30729983,57.83446708,12.30730269,2.410,2.500,1.230,1.28,7,7,Stopped
1770562872.9509223,57.83446983,12.30729717,57.83446846,12.30729993,2.410,2.500,1.230,0.14,7,7,Stopped
1770562873.9537513,57.83447100,12.30728233,57.83446973,12.30729113,2.552,2.500,1.380,0.95,6,6,Reverse
1770562874.970611,57.83447817,12.30727150,57.83447395,12.30728131,2.552,2.500,1.380,1.17,6,6,Reverse
1770562875.9666166,57.83448833,12.30726767,57.83448114,12.30727449,2.552,2.500,1.380,1.23,6,6,Reverse
1770562876.9644415,57.83448417,12.30727567,57.83448265,12.30727508,2.552,2.500,1.380,0.53,6,6,Stopped
1770562877.9541419,57.83449233,12.30726600,57.83448749,12.30727054,2.552,2.500,1.380,0.87,6,6,Reverse
1770562878.9535773,57.83449183,12.30727417,57.83448966,12.30727235,2.552,2.500,1.380,0.27,6,6,Stopped
1770562879.9618897,57.83449917,12.30726900,57.83449442,12.30727068,2.552,2.500,1.380,0.73,6,6,Stopped
1770562880.966008,57.83450233,12.30726433,57.83449837,12.30726750,2.552,2.500,1.380,0.83,6,6,Stopped
1770562881.9495697,57.83449783,12.30727100,57.83449810,12.30726925,2.552,2.500,1.380,0.69,6,6,Stopped
1770562882.9695752,57.83449600,12.30727850,57.83449705,12.30727388,2.552,2.500,1.380,0.90,6,6,Forward
1770562883.969951,57.83448983,12.30727833,57.83449344,12.30727610,2.552,2.500,1.380,0.84,6,6,Stopped
1770562884.9706528,57.83448900,12.30725800,57.83449122,12.30726705,2.552,2.500,1.380,1.69,6,6,Reverse
1770562885.966321,57.83449350,12.30725617,57.83449236,12.30726161,2.552,2.500,1.380,0.96,6,6,Reverse
1770562886.9610262,57.83449350,12.30725067,57.83449293,12.30725614,2.552,2.500,1.380,1.20,6,6,Reverse
1770562887.9667327,57.83448833,12.30724500,57.83449063,12.30725057,3.019,2.500,1.870,1.38,5,5,Reverse
1770562888.9635887,57.83449467,12.30724000,57.83449265,12.30724528,3.019,2.500,1.870,1.17,5,5,Reverse
1770562889.9595985,57.83448033,12.30723650,57.83448649,12.30724089,3.019,2.500,1.870,1.18,5,5,Reverse
1770562890.9527776,57.83446067,12.30722533,57.83447358,12.30723311,3.019,2.500,1.870,2.26,5,5,Reverse
