timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view
1770561691.9708567,57.83437100,12.30725500,57.83437017,12.30725107,2.429,2.500,1.250,0.34,5,5
1770561692.9662158,57.83437467,12.30725867,57.83437242,12.30725487,2.429,2.500,1.250,0.50,5,5
1770561693.9717104,57.83437617,12.30725567,57.83437429,12.30725527,2.429,2.500,1.250,0.45,5,5
1770561694.9777827,57.83438083,12.30724850,57.83437756,12.30725188,2.429,2.500,1.250,1.11,5,5
1770561695.973377,57.83437900,12.30725217,57.83437828,12.30725203,2.429,2.500,1.250,0.69,5,5
1770561696.9783204,57.83437967,12.30724433,57.83437897,12.30724818,2.381,2.500,1.200,1.01,6,6
1770561697.9728422,57.83438167,12.30723400,57.83438032,12.30724109,2.381,2.500,1.200,1.50,6,6
1770561698.9709513,57.83437083,12.30724300,57.83437558,12.30724204,2.381,2.500,1.200,0.61,6,6
1770561699.9798453,57.83436900,12.30723867,57.83437229,12.30724036,2.381,2.500,1.200,0.67,6,6
1770561700.9675264,57.83436267,12.30722900,57.83436748,12.30723468,2.381,2.500,1.200,1.44,6,6
1770561701.9734535,57.83435683,12.30723700,57.83436216,12.30723584,2.381,2.500,1.200,1.51,6,6
1770561702.9710517,57.83435433,12.30724667,57.83435824,12.30724125,2.381,2.500,1.200,1.59,6,6
1770561703.9716964,57.83435717,12.30725750,57.83435771,12.30724938,2.381,2.500,1.200,1.18,6,6
1770561704.9729135,57.83435600,12.30725233,57.83435685,12.30725085,2.381,2.500,1.200,0.83,6,6
1770561705.9832778,57.83435400,12.30725300,57.83435543,12.30725193,2.381,2.500,1.200,0.99,6,6
1770561706.9748626,57.83435267,12.30725050,57.83435405,12.30725121,2.381,2.500,1.200,1.21,6,6
1770561707.9750519,57.83435717,12.30726500,57.83435561,12.30725811,2.381,2.500,1.200,0.31,6,6
1770561708.9711454,57.83435400,12.30725700,57.83435480,12.30725755,2.381,2.500,1.200,0.87,6,6
