time_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1766.3,57.8344495,12.30731,57.83445080415476,12.307309812849052,3.25,2.5,2.5,0.4624883433481776,7,7,Reverse,74.3,4.875,1
1767.39,57.83444816666667,12.307310500000002,57.834449485410715,12.307310156424528,3.25,2.5,2.5,0.40689763847886873,7,7,Reverse,74.2,4.875,1
1768.31,57.83444899999999,12.307310166666666,57.834449242705354,12.307310161545596,3.25,2.5,2.5,0.3349624883745608,7,7,Reverse,73.6,4.875,1
1769.3,57.83444766666666,12.307309833333333,57.834448454686004,12.307309997439464,3.25,2.5,2.5,0.2449654785011266,7,7,Reverse,73.4,4.875,1
1770.29,57.834447,12.307309000000002,57.834447727343004,12.307309498719734,3.25,2.5,2.5,0.1643635973724843,7,7,Reverse,72.7,4.875,1
1771.3,57.8344475,12.307307500000002,57.8344476136715,12.307308499359868,3.25,2.5,2.5,0.15806005849583452,7,7,Reverse,72.2,4.875,1
1772.3,57.83444683333334,12.307306333333335,57.83444722350242,12.307307416346601,3.25,2.5,2.5,0.10948505684625433,7,7,Reverse,71.6,4.875,1
1773.41,57.834447,12.307305166666668,57.83444711175121,12.307306291506634,3.25,2.5,2.5,0.12715625542032138,7,7,Reverse,70.9,4.875,1
1774.31,57.834448,12.307306833333334,57.834447555875606,12.307306562419983,3.25,2.5,2.5,0.09560065557942972,7,7,Reverse,70.2,4.875,1
1775.28,57.83444883333333,12.307306333333335,57.83444819460447,12.307306447876659,3.25,2.5,2.5,0.08204131293994153,7,7,Reverse,69.8,4.875,1
1776.34,57.83444849999999,12.307306666666667,57.83444834730223,12.307306557271664,3.25,2.5,2.5,0.09135283892974054,7,7,Reverse,69.7,4.875,1
1777.24,57.8344475,12.307306333333335,57.83444792365112,12.3073064453025,3.25,2.5,2.5,0.10623030995373807,7,7,Reverse,69.2,4.875,1
1778.27,57.83444766666666,12.307306333333335,57.83444779515889,12.307306389317917,3.25,2.5,2.5,0.10860882319514059,7,7,Reverse,68.8,4.875,1
1779.3,57.834447,12.307306166666669,57.834447397579446,12.307306277992293,3.25,2.5,2.5,0.13934133933312715,7,7,Reverse,68.8,4.875,1
1780.32,57.83444666666666,12.307306166666669,57.83444703212305,12.30730622232948,3.25,2.5,2.5,0.1247987556157725,7,7,Reverse,68.7,4.875,1
1781.33,57.8344465,12.307306833333334,57.834446766061525,12.307306527831408,3.25,2.5,2.5,0.12753045472591776,7,7,Reverse,68.6,4.875,1
1782.29,57.83444766666666,12.307309000000002,57.83444721636409,12.307307763915704,3.25,2.5,2.5,0.13144303244582822,7,7,Reverse,68.5,4.875,1
1783.25,57.834448,12.307310166666666,57.834447608182046,12.307308965291185,3.25,2.5,2.5,0.10985509274062293,7,7,Reverse,68.7,4.875,1
1784.28,57.83444866666667,12.307311499999999,57.83444813742436,12.307310232645593,3.25,2.5,2.5,0.11120484308420915,7,7,Reverse,68.7,4.875,1
1785.29,57.83444816666667,12.307311,57.83444815204551,12.307310616322797,3.25,2.5,2.5,0.14461543662134874,7,7,Reverse,68.8,4.875,1
1786.28,57.83444849999999,12.307310666666668,57.83444832602275,12.307310641494732,3.25,2.5,2.5,0.12995312798932054,7,7,Reverse,68.7,4.875,1
1787.3,57.83444833333333,12.307308833333332,57.83444832967804,12.307309737414032,3.25,2.5,2.5,0.2535956681360869,7,7,Reverse,68.3,4.875,1
1788.24,57.83444833333333,12.307306666666667,57.83444833150568,12.30730820204035,3.25,2.5,2.5,0.3873116806707989,7,7,Reverse,68.2,4.875,1
1789.33,57.83444883333333,12.307309166666668,57.83444858241951,12.307308684353508,3.25,2.5,2.5,0.3650436302484088,7,7,Reverse,68.5,4.875,1
1790.3,57.83445199999999,12.307310666666668,57.83445029120975,12.307309675510089,3.25,2.5,2.5,0.30967028173570593,7,7,Reverse,68.8,4.875,1
1791.3,57.8344535,12.307312000000001,57.83445189560488,12.307310837755045,3.25,2.5,2.5,0.2598754782885533,7,7,Reverse,69.2,4.875,1
1792.27,57.83445466666667,12.307312000000001,57.83445328113577,12.307311418877523,3.25,2.5,2.5,0.23386929005823937,7,7,Reverse,69.8,4.875,1
1793.28,57.83445566666666,12.307312833333333,57.83445447390122,12.307312126105428,3.25,2.5,2.5,0.1971047919991096,7,7,Reverse,70.0,4.875,1
1794.26,57.83445566666666,12.307315833333332,57.834455070283944,12.30731397971938,3.25,2.5,2.5,0.3077511651684031,7,7,Reverse,70.1,4.875,1
1795.34,57.83445633333334,12.307317333333334,57.83445570180864,12.307315656526356,3.25,2.5,2.5,0.3489739805043928,7,7,Reverse,70.1,4.875,1
1796.34,57.834458,12.307321833333333,57.83445685090432,12.307318744929844,3.25,2.5,2.5,0.42221217699928587,7,7,Reverse,70.4,4.875,1
1797.28,57.83445866666666,12.307323166666666,57.83445775878549,12.307320955798255,3.25,2.5,2.5,0.36335276786656223,7,7,Reverse,70.4,4.875,1
1798.3,57.83445916666666,12.307324000000001,57.834458462726076,12.30732247789913,3.25,2.5,2.5,0.2895264939261998,7,7,Reverse,70.5,4.875,1
1799.27,57.83445916666666,12.307321666666667,57.83445881469637,12.307322072282897,3.25,2.5,2.5,0.2769766085333104,7,7,Reverse,70.5,4.875,1
1800.29,57.83445966666667,12.307323499999999,57.83445924068152,12.307322786141448,3.25,2.5,2.5,0.23399932382071578,7,7,Reverse,70.3,4.875,1
1801.27,57.834460166666666,12.307323666666665,57.83445970367409,12.307323226404057,3.25,2.5,2.5,0.2552387891509307,7,7,Reverse,70.3,4.875,1
1802.32,57.83445983333333,12.307322,57.83445976850371,12.307322613202029,3.25,2.5,2.5,0.29812120908009454,7,7,Reverse,70.7,4.875,1
